scenario_id,intent_short,tone,model,generation_ok,metric1_fact_recall,metric2_tone_accuracy,metric3_structural_completeness,avg_score,m1_facts_recalled,m1_total_facts,m2_raw_score_1_10,m2_judge_reasoning,m3_components_found,subject_line,duration_ms,total_tokens,error
S01,Follow up after a sales discovery call to keep the deal…,formal,llama-3.3-70b-versatile,True,100.0,90.0,80.0,90.0,4,4,9,"The email maintains a formal tone throughout, using professional vocabulary, structured sentences, and an executive-level register, with only minor potential for improvement in sentence complexity and variability.",4,Next Steps Following Our Sales Discovery Call on 8th April,1702.36,1801,
S02,Apologise to a client for missing the agreed project de…,empathetic,llama-3.3-70b-versatile,True,100.0,90.0,100.0,96.7,4,4,9,"The email accurately reflects an empathetic tone by acknowledging the recipient's feelings, taking personal ownership, and offering a gesture of goodwill, with only minor opportunities for further warmth and personalization.",5,A Sincere Apology and Update on Your Project Deadline,1829.5,1899,
S03,Immediately alert the engineering team about a live pay…,urgent,llama-3.3-70b-versatile,True,100.0,80.0,100.0,93.3,4,4,8,"The email effectively conveys a sense of urgency through direct language, imperative sentences, and time-sensitive details, but includes a brief acknowledgement request that slightly dilutes the action-first imperative tone.",5,URGENT: Live Payment Gateway Failure — Immediate Action Required,1748.48,1795,
S04,Immediately alert the engineering team about a live pay…,urgent,llama-3.3-70b-versatile,True,100.0,80.0,80.0,86.7,4,4,8,"The email effectively conveys a sense of urgency through direct language, imperative sentences, and time-sensitive information, but minor lapses, such as polite expressions and a formal closing, slightly detract from the overall urgent tone.",4,CRITICAL: Live Payment Gateway Failure — Expired TLS Certificate,1533.98,1836,
S05,Pitch our AI-powered HR analytics tool to a potential e…,persuasive,llama-3.3-70b-versatile,True,100.0,80.0,60.0,80.0,4,4,8,"The email effectively employs a persuasive tone by highlighting the benefits of the AI-powered HR analytics tool, such as reducing employee attrition prediction time and offering a free trial, but has minor lapses in maintaining a consistent tone with a somewhat abrupt transition to the call-to-action.",3,Unlock Data-Driven HR Decisions with Our AI-Powered Analytics Tool,1831.69,1928,
S06,Invite the team to our Friday end-of-sprint celebration…,casual,llama-3.3-70b-versatile,True,100.0,90.0,80.0,90.0,4,4,9,"The email accurately reflects a casual tone through its use of friendly language, conversational style, and natural contractions, with only minor elements that could be considered slightly formal.",4,Friday 5:30 PM: Rooftop Celebration!,1245.58,1690,
S07,Request a one-on-one meeting with my manager to discuss…,formal,llama-3.3-70b-versatile,True,100.0,90.0,80.0,90.0,4,4,9,"The email maintains a formal tone throughout, using professional vocabulary, structured sentences, and an executive-level register, with only minor deviations, such as the phrase 'I would greatly appreciate', which is a slightly informal expression of gratitude.",4,Request for Meeting to Discuss Career Advancement Opportunities,1479.32,1765,
S08,SenSend a warm welcome email to a new client who just s…,casual,llama-3.3-70b-versatile,True,100.0,90.0,40.0,76.7,4,4,9,"The email accurately reflects a casual tone through its use of friendly language, conversational style, and natural contractions, with only minor elements that could be perceived as slightly formal.",2,You're On Board! Next Steps Inside,1303.81,1741,
S08,Send a quarterly business update to our investors…,formal,llama-3.3-70b-versatile,True,100.0,90.0,60.0,83.3,4,4,9,"The email maintains a formal tone throughout, using professional vocabulary and structured sentences, with only minor lapses, such as the use of the phrase 'I am pleased to report' which, although formal, could be considered slightly less formal than alternative constructions.",3,Q1 2025 Business Update: Significant Growth and Strategic Expansion,1931.82,1835,
S09,Notify stakeholders about a data breach and required im…,urgent,llama-3.3-70b-versatile,True,100.0,60.0,80.0,80.0,4,4,6,"The email partially conveys a sense of urgency through phrases like 'Immediate Action Required' and 'critical situation', but is tempered by formal language and a structured approach that detracts from the direct, action-first tone typically associated with urgent communications.",4,URGENT: Data Breach Notification — Immediate Action Required,6614.29,1819,
